Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Trend,20D Avg Vol,52W %/High,20D MA,50D MA,100D MA,Market Cap
SPH,Suburban Propane Partners LP,NYSE,16.26,Oil Refining & Marketing MLP,,4/5/2022,Buy,352695,-1.87%,15.63,15.19,15.03,1037647000
SPTN,Spartannash Company,NASDAQ,32.27,Food Items - Wholesale,,4/5/2022,Buy,474530,-9.51%,32.82,29.44,27.22,1196921000
SQM,Sociedad Quimica Y Minera S.A. ADR,NYSE,85.88,Fertilizers,,4/5/2022,Buy,1657985,-5.49%,80.19,68.81,62.71,23458748000
SR,Spire Inc,NYSE,73.2,Utility - Gas Distribution,,4/5/2022,Buy,380710,-6.09%,69.1,66.9,65.3,3733245000
SRE,Sempra,NYSE,165.03,Utility - Gas Distribution,,4/5/2022,Buy,1999960,-3.26%,160.07,147.58,138.22,52658140000
SRRA,Sierra Oncology Inc,NASDAQ,36.4,Medical - Drugs,,4/5/2022,Buy,288155,-2.49%,33.53,31.64,26.75,853123000
SSL,Sasol Ltd ADR,NYSE,24.45,Oil - International Integrated,,4/5/2022,Buy,301615,-5.60%,23.98,23.1,20.09,15659485000
SSRM,Ssr Mining Inc,NASDAQ,21.41,Mining - Misc,,4/5/2022,Buy,2189165,-5.81%,21.64,19.59,18.62,4678732000
STER,Sterling Check Corp,NASDAQ,27.07,Technology Services,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,Buy,295725,-6.62%,23.97,21.94,21.93,2613446000
STLD,Steel Dynamics Inc,NASDAQ,82.54,Steel - Producers,,4/5/2022,Buy,2463190,-7.97%,81.19,70.46,66.13,15843705000
STNG,Scorpio Tankers Inc,NYSE,20.98,Transportation - Ship,,4/5/2022,Buy,1060010,-14.96%,19.58,17.24,15.42,1258457000
SU,Suncor Energy Inc,NYSE,32.99,Oil - C$ Integrated,,4/5/2022,Buy,7604640,-3.55%,32.12,30.62,28.04,48015476000
SUPN,Supernus Pharm,NASDAQ,32.18,Medical - Generic Drugs,,4/5/2022,Buy,334000,-6.72%,31.54,31.09,30.74,1685961000
SUZ,Suzano Papel E Celul ADR,NYSE,11.63,Paper & Related Products,SIC-2621 Paper Mills,4/5/2022,Buy,1388260,-12.95%,12.02,11.43,10.9,16008418000
SWCH,Switch Inc,NYSE,31.26,Technology Services,,4/5/2022,Buy,1687210,-1.70%,29.22,27.09,26.92,7635384000
SWN,Southwestern Energy Company,NYSE,7.54,Oil - US Exploration & Product,,4/5/2022,Buy,39099719,-5.28%,6.17,5.32,5.05,8301676000
SWX,Southwest Gas Corp,NYSE,79.24,Utility - Gas Distribution,,4/5/2022,Buy,772955,-2.28%,77.31,71.68,70.12,4886102000
SXC,Suncoke Energy Inc,NYSE,8.68,Coal,,4/5/2022,Buy,1050750,-11.61%,8.74,8.15,7.41,737203000
TALO,Talos Energy Inc,NYSE,16.8,Oil - US Exploration & Product,,4/5/2022,Buy,1508560,-14.46%,15.88,14.16,12.24,1409172000
TAP,Molson Coors Brewing Company,NYSE,51.39,Beverages - Alcohol,,4/5/2022,Buy,1313980,-16.41%,52.43,50.71,48.92,11298305000
TBI,Trueblue Inc,NYSE,28.04,Staffing,,4/5/2022,Buy,206855,-14.80%,28.46,27.39,27.37,1003067000
TCN,Tricon Residential Inc,NYSE,15.64,Real Estate Operations,,4/5/2022,Buy,942335,-9.23%,16.07,15.34,14.95,4295430000
TCPC,TCP Capital Corp,NASDAQ,14.28,Finance - SBIC & Commercial,,4/5/2022,Buy,280735,-5.12%,14.01,13.83,13.71,826646000
TDC,Teradata Corp,NYSE,47.8,Computer - Storage Devices,,4/5/2022,Buy,908500,-19.50%,48,46.9,45.32,4989846000
TDG,Transdigm Group Inc,NYSE,651.43,Aerospace - Defense Equipment,,4/5/2022,Buy,339455,-5.32%,657.01,644.19,632.29,37125712000
TDW,Tidewater Inc,NYSE,21.75,Oil - US Integrated,,4/5/2022,Buy,407070,-4.77%,20.95,17.3,14.33,899167000
TDY,Teledyne Technologies Inc,NYSE,481.28,Aerospace - Defense Equipment,,4/5/2022,Buy,295605,-1.93%,452.59,434.79,432.48,22875412000
TECK,Teck Resources Ltd,NYSE,38.62,Mining - Misc,SIC-1400 Mining & Quarrying of Nonmetallic Minerals (,4/5/2022,Buy,5579495,-10.56%,39.94,37.18,32.93,21581440000
TENB,Tenable Holdings Inc,NASDAQ,57.86,Internet - Software,,4/5/2022,Buy,1318230,-4.16%,55.35,52.56,51.99,6569235000
TEO,Telecom Argentina Stet France Telecom ADR,NYSE,6.19,Wireline Non-US,,4/5/2022,Buy,180575,-6.07%,5.53,5.32,5.21,2765338000
TGI,Triumph Group,NYSE,24.56,Aerospace - Defense Equipment,SIC-3720 Aircraft & Parts,4/5/2022,Buy,660885,-11.81%,25.23,22.98,21.03,1686993000
TGNA,Tegna Inc,NYSE,22.48,Broadcast - Radio & TV,SIC-4833 Television Broadcasting Stations,4/5/2022,Buy,2780880,-2.43%,22.37,21.66,20.66,4975878000
TGS,Transportadora DE Gas Sa Ord B ADR,NYSE,7.04,Oil - Production & Pipeline,SIC-4922 Natural Gas Transmission,4/5/2022,Buy,201685,-5.12%,6.36,5.68,5.15,1064403000
TH,Target Hospitality Corp,NASDAQ,5.89,Leisure & Recreation Services,,4/5/2022,Buy,627765,-7.24%,5.63,4.15,3.9,599484000
THG,The Hanover Insurance Group,NYSE,149.47,Insurance - Proprty & Casualty,,4/5/2022,Buy,157290,-3.56%,146.54,142.02,136.29,5338457000
TIMB,Tim S.A. ADR,NYSE,15.05,Wireless Non-US,,4/5/2022,Buy,770575,-3.59%,13.8,13.18,12.4,7456064000
TINV,Tiga Acquisition Corp Cl A,NYSE,10.25,Unclassified,SIC-6770 Blank Checks,4/5/2022,Buy,42005,-0.49%,10.23,10.2,10.17,353280000
TLK,P.T. Telekomunikasi Indonesia Tbk ADR,NYSE,31.35,Diversified Comm Services,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,Buy,247975,-4.27%,31.97,30.79,29.51,28306488000
TMST,Timken Steel Corp,NYSE,20.83,Steel - Producers,,4/5/2022,Buy,938330,-13.57%,21.75,18.28,16.86,1012519000
TMUS,T-Mobile US,NASDAQ,131.96,Wireless National,,4/5/2022,Buy,5142660,-12.14%,126.9,122.8,118.47,1.65643E+11
TMX,Terminix Global Hldgs Inc,NYSE,45.72,Industrial Services,,4/5/2022,Buy,877140,-14.27%,44.3,43.16,42.4,5531758000
TNK,Teekay Tankers Ltd,NYSE,14.27,Transportation - Ship,,4/5/2022,Buy,285875,-10.76%,13.4,12.49,12.01,482116000
TRGP,Targa Resources,NYSE,75.71,Oil Refining & Marketing MLP,,4/5/2022,Buy,1751250,-3.12%,71.72,66.21,59.86,17591136000
TRMD,Torm Plc Cl A,NASDAQ,8.96,Transportation - Ship,,4/5/2022,Buy,193125,-11.81%,8.44,7.96,7.86,669173000
TRP,Tc Energy Corp,NYSE,57.85,Other Alt Energy,,4/5/2022,Buy,1955685,-1.75%,56.11,53.9,50.82,56466272000
TRQ,Turquoise Hill Resources Ltd,NYSE,30.2,Mining - Misc,,4/5/2022,Buy,1839155,-2.11%,27.79,22.88,19.07,6167730000
TRV,The Travelers Companies Inc,NYSE,181.39,Insurance - Proprty & Casualty,,4/5/2022,Buy,1399590,-3.51%,181.06,174.75,166.05,43909716000
TS,Tenaris S.A. ADR,NYSE,29.93,Steel - Pipe & Tube,,4/5/2022,Buy,2798245,-4.94%,29.3,27.21,24.4,18168450000
TSEM,Tower Semiconductor,NASDAQ,48.67,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices,4/5/2022,Buy,1072790,-0.86%,48.19,43.6,40.66,5223009000
TTI,Tetra Technologies,NYSE,3.79,Oil - Field Services,,4/5/2022,Buy,1385005,-15.59%,3.63,3.27,3.07,509304000
TU,Telus Corp,NYSE,26.86,Diversified Comm Services,,4/5/2022,Buy,1696440,-0.78%,25.91,25.18,24.2,36510500000
TVTY,Tivity Health,NASDAQ,32.17,Medical Services,,4/5/2022,Buy,894750,-2.19%,30.42,27.94,26.7,1606792000
TWI,Titan International,NYSE,13.61,Machinery - Farm,,4/5/2022,Buy,561630,-13.70%,14.17,12.09,10.56,906353000
TWNK,Hostess Brands Inc,NASDAQ,22.62,Food - Confectionery,,4/5/2022,Buy,1426545,-3.81%,21.22,21.07,20.08,3131569000
UAN,Cvr Partners LP,NYSE,136.93,Fertilizers,,4/5/2022,Buy,194865,-8.90%,127.24,112.63,97.7,1470986000
UEPS,Net 1 Ueps Techs Inc,NASDAQ,5.76,Protection - Safety,,4/5/2022,Buy,112540,-17.36%,5.28,5.14,5.08,327085000
UFCS,United Fire Group,NASDAQ,30.71,Insurance - Proprty & Casualty,,4/5/2022,Buy,83660,-13.08%,29.68,27.47,25.34,774243000
UNH,Unitedhealth Group Inc,NYSE,517.76,Medical - HMO,,4/5/2022,Buy,3005450,-1.33%,504.74,487.57,478.61,4.79877E+11
UNM,Unumprovident Corp,NYSE,31.25,Insurance - Accident & Health,SIC-6321 Accident & Health Insurance,4/5/2022,Buy,2400580,-3.10%,29.93,28.45,26.83,6200484000
UNVR,Univar Inc,NYSE,31.61,Chemical - Diversified,,4/5/2022,Buy,1467060,-7.03%,32.24,30.06,28.88,5422410000
USAC,USA Compression Partners LP,NYSE,18.3,Oil Field Machinery & Equip,,4/5/2022,Buy,221915,-3.94%,17.81,17.16,16.51,1839451000
USPH,U.S. Physical Therapy,NYSE,100.83,Medical - Outpatient & Hm Care,,4/5/2022,Buy,67775,-18.28%,97.08,96.3,95.35,1315732000
UTI,Universal Technical Institute Inc,NYSE,8.95,Schools,,4/5/2022,Buy,177870,-4.79%,8.68,8.46,8.14,300686000
UVV,Universal Corp,NYSE,58.15,Tobacco,,4/5/2022,Buy,171220,-4.59%,56.42,54.89,53.59,1445966000
VAL,Valaris Ltd,NYSE,52.28,Oil & Gas - Drilling,,4/5/2022,Buy,655385,-6.16%,49.42,44.88,40.34,4086000000
VALE,Vale S.A. ADR,NYSE,20.33,Mining - Iron,SIC-1000 Metal Mining,4/5/2022,Buy,38236020,-12.28%,19.47,18.23,15.95,1.0613E+11
VET,Vermilion Energy Inc,NYSE,21.59,International E&P,,4/5/2022,Buy,2859555,-9.78%,21.42,19,15.45,3612375000
VINP,Vinci Partners Investments Ltd Cl A,NASDAQ,13.7,Finance - Misc Services,SIC-6282 Investment Advice,4/5/2022,Buy,55950,-14.38%,12.93,12.75,12.09,778889000
VIRT,Virtu Financial Cm A,NASDAQ,38.09,Finance - Misc Services,,4/5/2022,Buy,1168475,-1.17%,35.86,34.43,31.49,6654133000
VIST,Vista Oil & Gas S.A.B. DE C.V. ADR,NYSE,9.19,Oil - International Integrated,,4/5/2022,Buy,789240,-8.64%,8.65,7.75,6.63,845773000
VIV,Telecomunicacoes DE Sao Paulo ADR,NYSE,11.69,Diversified Comm Services,,4/5/2022,Buy,2740765,-0.76%,10.71,9.98,9.34,19586636000
VIVO,Meridian Bioscience,NASDAQ,26.3,Medical Products,,4/5/2022,Buy,324540,-7.00%,25.69,24.86,22.43,1143822000
VLGEA,Village Super Mkt,NASDAQ,24.47,Retail - Supermarket,,4/5/2022,Buy,30020,-5.12%,24.34,23.33,22.88,356062000
VLO,Valero Energy Corp,NYSE,101.46,Oil - Refining and Marketing,SIC-2911 Petroleum Refining,4/5/2022,Buy,4463925,-1.73%,94.17,89.19,81.84,41233284000
VNE,Veoneer Inc,NYSE,36.95,Auto - Truck Original Parts,N/A,3/31/2022,Buy,3114865,-8.68%,35.98,35.56,35.49,4139102000
VNOM,Viper Energy LP,NASDAQ,30.81,Oil - US Exploration & Product,,4/5/2022,Buy,461160,-2.47%,29.67,28.48,25.69,5115795000
VRS,Verso Corp,NYSE,26.99,Paper & Related Products,N/A,3/30/2022,Buy,466345,-1.10%,26.84,26.71,25.4,786893000
VRTX,Vertex Pharmaceutic,NASDAQ,269.96,Medical - Biomedical,,4/5/2022,Buy,1521820,-2.15%,252.29,242.49,226.31,68389568000
VST,Vistra Energy Corp,NYSE,23.58,Utility - Electric Power,,4/5/2022,Buy,3881435,-0.84%,22.69,22.2,21.78,10470597000
VTR,Ventas Inc,NYSE,61.6,REIT - Equity Trust Other,,4/5/2022,Buy,2403045,-3.78%,60.52,55.77,53.28,25115650000
VTRU,Vitru Ltd,NASDAQ,15.53,Schools,SIC-8200 Services-Educational Services,4/5/2022,Buy,37885,-15.96%,15.35,15.03,14.23,362999000
VYGR,Voyager Therapeut,NASDAQ,8.99,Medical - Biomedical,,4/5/2022,Buy,1073050,-7.70%,7.77,5.19,4.08,330076000
WABC,Westamerica Bancorp,NASDAQ,60.35,Banks - West,,4/5/2022,Buy,105900,-7.74%,61.13,59.77,58.63,1636296000
WARR,Warrior Technologies Acquisition Cl A,NYSE,9.89,Unclassified,SIC-6770 Blank Checks,4/5/2022,Buy,55720,-1.10%,9.88,9.86,9.84,341550000
WEC,Wisconsin Energy Corp,NYSE,101.73,Utility - Electric Power,,4/5/2022,Buy,1553510,-0.94%,96.79,94.28,94.04,31698564000
WELL,Welltower Inc,NYSE,95.69,REIT - Equity Trust Other,,4/5/2022,Buy,2137295,-3.76%,93.76,87.45,86.03,43685836000
WFRD,Weatherford International Plc,NASDAQ,33.61,Oil - Field Services,,4/5/2022,Buy,439500,-8.84%,32.89,32.09,30.27,2470779000
WHD,Cactus Inc Cl A,NYSE,55.76,Oil - US Integrated,,4/5/2022,Buy,623175,-13.12%,54.19,51.69,45.75,4319255000
WLK,Westlake Corp,NYSE,121.73,Chemical - Plastics,SIC-2860 Industrial Organic Chemicals,4/5/2022,Buy,635175,-4.31%,122.2,111.86,104.99,15537284000
WLKP,Westlake Chemical Partners LP,NYSE,27.54,Chemical - Specialty,SIC-2860 Industrial Organic Chemicals,4/5/2022,Buy,65385,-1.08%,26.76,26.65,25.8,968385000
WLL,Whiting Petroleum Corp,NYSE,78.4,Oil - US Exploration & Product,,4/5/2022,Buy,631120,-13.74%,82.06,76.83,72.39,3176559000
WMB,Williams Companies,NYSE,32.98,Oil - Production & Pipeline,,4/5/2022,Buy,8605720,-4.10%,32.59,31.42,29.4,41001952000
WMK,Weis Markets,NYSE,73.81,Retail - Supermarket,SIC-5411 Retail-Grocery Stores,4/5/2022,Buy,70865,-5.65%,74.61,67.26,65.8,1980377000
WPM,Wheaton Precious Metals,NYSE,47.72,Mining - Misc,,4/5/2022,Buy,2699485,-5.20%,47.97,44.73,43.14,21997656000
WRB,W.R. Berkley Corp,NYSE,66.42,Insurance - Proprty & Casualty,,4/5/2022,Buy,1434368,-1.72%,64.8,61.43,57.89,17491668000
WTTR,Select Energy Services Inc,NYSE,8.39,Oil - Field Services,,4/5/2022,Buy,593805,-19.56%,8.78,8.18,7.23,948230000
WWE,World Wrestling Entertainment,NYSE,62.42,Movie & TV Production & Dist,,4/5/2022,Buy,629810,-11.74%,60,56.96,53.71,4712003000
X,United States Steel Corp,NYSE,36.78,Steel - Producers,,4/5/2022,Buy,18475449,-6.29%,35.29,28.66,26.19,9704631000
XEL,XCEL Energy Inc,NASDAQ,73.07,Utility - Electric Power,,4/5/2022,Buy,2805070,-1.31%,70.62,69.01,67.9,39564356000
XENE,Xenon Pharmaceuticals Inc,NASDAQ,35.16,Medical - Biomedical,,4/5/2022,Buy,465270,-3.46%,30.7,30.19,29.53,1773102000
XENT,Intersect Ent Inc,NASDAQ,27.83,Medical Instruments,,4/5/2022,Buy,311325,-1.21%,27.77,27.47,27.31,939644000
XHR,Xenia Hotels & Resorts Inc,NYSE,18.99,REIT - Equity Trust Other,,4/5/2022,Buy,457820,-9.74%,19.02,18.45,17.95,2236119000
XOM,Exxon Mobil Corp,NYSE,82.73,Oil - International Integrated,,4/5/2022,Buy,31510029,-9.59%,82.15,80.34,72.33,3.52066E+11
Y,Alleghany Corp,NYSE,853,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,Buy,195315,-1.14%,772.29,709.46,690.15,11529581000
YPF,Ypf Sociedad Anonima ADR,NYSE,5.19,Oil - International Integrated,SIC-2911 Petroleum Refining,4/5/2022,Buy,2411800,-11.43%,4.72,4.43,4.19,2088492000
ZEN,Zendesk Inc,NYSE,124.76,Internet - Software,,4/5/2022,Buy,1730500,-19.83%,118.46,112.54,106.3,15254216000
ZETA,Zeta Global Holdings Corp Cl A,NYSE,12.4,Technology Services,,4/5/2022,Buy,1250775,-5.27%,11.26,10.85,9.62,2595563000
ZEUS,Olympic Steel Inc,NASDAQ,35,Steel - Producers,,4/5/2022,Buy,138890,-12.50%,34.24,28.41,25.83,403756000
ZNGA,Zynga Inc Cl A,NASDAQ,9.19,Gaming,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,Buy,20262055,-19.17%,9.11,9.04,7.99,10497441000
