Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"Sales %(q)","Sales %(a)","Cash Flow %(q)","Cash Flow %(q-1)","Shareholders Equity %(a)","Wtd Alpha"
HSON,"Hudson Global",NASDAQ,32.85,Outsourcing,"SIC-7363 Services-Help Supply Services","10:09 ET",+11.22%,+66.79%,+198.81%,+159.57%,+14.70%,+65.75
ICL,"Israel Chemicals Ltd",NYSE,11.16,"Chemical - Specialty","SIC-2870 Agricultural Chemicals","10:35 ET",+13.85%,+37.91%,+47.71%,+60.94%,+15.85%,+57.60
IPI,"Intrepid Potash Inc",NYSE,77.6,Fertilizers,"SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","10:35 ET",+21.44%,+37.26%,+33.07%,+15.51%,+61.31%,+107.66
KIM,"Kimco Realty Corp",NYSE,25.11,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","10:35 ET",+15.20%,+28.99%,+48.32%,+42.09%,+78.30%,+18.27
KNSL,"Kinsale Capital Group Inc",NYSE,229.33,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","10:35 ET",+11.35%,+39.12%,+34.84%,+54.85%,+21.36%,+35.45
LAND,"Gladstone Land Corp",NASDAQ,37.07,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","10:34 ET",+16.39%,+32.07%,+59.04%,+19.98%,+53.49%,+66.84
LLY,"Eli Lilly and Company",NYSE,290.62,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","10:35 ET",+18.12%,+15.40%,+42.25%,+46.97%,+57.16%,+44.30
LPI,"Laredo Petroleum Holdings Inc",NYSE,70.4,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:31 ET",+23.99%,+105.86%,+72.99%,+52.96%,"+2,496.36%",+28.93
MAR,"Marriot Int Cl A",NASDAQ,179.13,"Hotels & Motels","SIC-7011 Hotels & Motels","10:35 ET",+12.67%,+31.09%,+57.99%,+491.27%,+228.84%,+25.68
MATX,"Matson Inc",NYSE,88.92,"Transportation - Services","SIC-4400 Water Transportation","10:35 ET",+18.23%,+64.70%,+68.71%,+144.26%,+73.47%,+30.67
MEOH,"Methanex Cp",NASDAQ,51.12,"Chemical - Diversified","SIC-2860 Industrial Organic Chemicals","10:35 ET",+16.20%,+66.59%,+39.79%,+73.25%,+35.61%,+30.50
MERC,"Mercer Intl Inc",NASDAQ,15.72,"Paper & Related Products","SIC-2611 Pulp Mills","10:29 ET",+10.48%,+26.71%,+20.21%,+36.02%,+15.47%,+16.38
METC,"Ramaco Resources Inc",NASDAQ,15.67,Coal,"SIC-1220 Bituminous","10:33 ET",+14.57%,+67.77%,+41.26%,+14.70%,+24.82%,+126.86
MGY,"Magnolia Oil & Gas Corp",NYSE,23.06,"Oil - US Exploration & Product",,"10:35 ET",+18.62%,+101.75%,+49.35%,+72.51%,+24.52%,+76.26
MMI,"Marcus & Millichap",NYSE,45.46,"Real Estate Developers","SIC-6531 Real Estate Agents & Managers (For Others)","10:35 ET",+48.97%,+80.84%,+156.95%,+197.55%,+27.33%,+15.90
MNRL,"Brigham Minerals Inc",NYSE,24.57,"Mining - Misc","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+13.61%,+75.77%,+50.89%,+60.36%,+38.37%,+25.17
MOS,"Mosaic Company",NYSE,63.14,Fertilizers,"SIC-2870 Agricultural Chemicals","10:35 ET",+12.36%,+42.34%,+24.50%,+31.69%,+10.18%,+85.44
MTDR,"Matador Resources Company",NYSE,48.8,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+19.90%,+92.89%,+46.54%,+68.11%,+40.60%,+63.92
NREF,"Nexpoint Real Estate Finance Inc",NYSE,23.24,"REIT - Mortgage Trusts","SIC-6798 Real Estate Investment Trusts","10:32 ET",+10.86%,+43.23%,+32.42%,+63.00%,+91.27%,+17.28
NRP,"Natural Resource Partners LP",NYSE,46.6206,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","10:20 ET",+47.73%,+54.19%,+82.77%,+82.18%,+25.18%,+158.43
OVV,"Ovintiv Inc",NYSE,51.54,"Oil - C$ Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+86.64%,+42.24%,+30.98%,+51.49%,+32.24%,+98.09
PANL,"Pangaea Logistics So",NASDAQ,4.79,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:34 ET",+10.11%,+87.54%,+44.68%,+118.54%,+28.26%,+20.45
PBF,"PBF Energy Inc",NYSE,28.83,"Oil - Refining and Marketing","SIC-2911 Petroleum Refining","10:35 ET",+14.71%,+80.30%,+46.55%,+403.40%,+15.01%,+105.69
PCRX,"Pacira Pharm Inc",NASDAQ,74.57,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","10:35 ET",+24.64%,+26.04%,+22.65%,+142.78%,+17.87%,+26.71
PDCE,"Pdc Energy Inc",NASDAQ,68.91,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+75.72%,+38.58%,+50.59%,+78.02%,+11.27%,+64.36
PEP,"Pepsico Inc",NASDAQ,170.55,"Beverages - Soft","SIC-2080 Beverages","10:35 ET",+25.06%,+12.93%,+75.10%,+183.50%,+19.18%,+15.85
PLYA,"Playa Hotels & Resorts N.V.",NASDAQ,9.3,"Hotels & Motels","SIC-7011 Hotels & Motels","10:35 ET",+16.86%,+95.70%,+311.26%,-3.31%,+11.03%,+31.70
PTNR,"Partner Comm Ltd ADR",NASDAQ,7.43,"Wireless Non-US","SIC-4812 Radiotelephone Communications","10:14 ET",+21.24%,+8.97%,+31.75%,+58.82%,+11.57%,+62.70
REGN,"Regeneron Pharmaceuticals",NASDAQ,653.58,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","10:35 ET",+43.41%,+89.14%,+50.38%,+263.56%,+70.23%,+25.72
ROCC,"Ranger Oil Corp",NASDAQ,31.47,"Oil - US Exploration & Product",,"10:35 ET",+59.63%,+112.06%,+41.63%,+66.31%,+214.56%,+47.68
RRC,"Range Resources Corp",NYSE,30.15,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+417.72%,+48.84%,+66.84%,+67.69%,+27.37%,+153.26
SBOW,"Silverbow Resources Inc",NYSE,35.88,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+52.49%,+129.55%,+61.41%,+43.36%,+221.36%,+157.67
SD,"Sandridge Energy Inc",NYSE,18.35,"Oil - US Integrated","SIC-1311 Crude Petroleum & Natural Gas","10:32 ET",+16.96%,+46.88%,+66.25%,+99.58%,+91.55%,+245.19
SFL,"Ship Finance International",NYSE,10,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:35 ET",+12.26%,+8.99%,+45.27%,+61.73%,+23.46%,+26.94
SIRE,"Sisecam Resources LP",NYSE,19.5,"E&P MLP","SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","10:18 ET",+15.04%,+37.71%,+91.52%,+53.80%,+12.91%,+41.31
SITM,"Sitime Corp",NASDAQ,172.69,"Electronics Products - Misc","SIC-3674 Semiconductors & Related Devices","10:35 ET",+20.17%,+88.37%,+71.69%,+231.18%,+475.63%,+17.72
SPLP,"Steel Partners Hlds",NYSE,41.7,"Conglomerates - Div Operations","SIC-3390 Miscellaneous Primary Metal Products","10:23 ET",+10.14%,+16.35%,+31.77%,+290.09%,+24.08%,+90.71
SQM,"Sociedad Quimica Y Minera S.A. ADR",NYSE,73.04,Fertilizers,"SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","10:35 ET",+63.90%,+57.51%,+96.38%,+80.62%,+48.71%,+37.33
SWKH,"Swk Holdings Corp",NASDAQ,19.49,"Finance - Misc Services","SIC-6159 Miscellaneous Business Credit Institution","10:26 ET",+56.49%,+52.98%,+48.68%,+19.84%,+11.11%,+19.68
SWN,"Southwestern Energy Company",NYSE,7.56,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+84.42%,+188.86%,+64.22%,+34.52%,+412.47%,+58.99
SWX,"Southwest Gas Corp",NYSE,87.41,"Utility - Gas Distribution",,"10:35 ET",+22.02%,+11.57%,+116.19%,"+3,688.23%",+10.43%,+34.95
SYNL,"Synalloy Cp",NASDAQ,15.7134,"Steel - Pipe & Tube","SIC-3317 Steel Pipe & Tubes","10:18 ET",+11.01%,+30.75%,+17.73%,+223.80%,+38.97%,+70.94
TECK,"Teck Resources Ltd",NYSE,39,"Mining - Misc","SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","10:35 ET",+11.24%,+61.03%,+80.26%,+122.05%,+22.71%,+60.40
TGS,"Transportadora DE Gas Sa Ord B ADR",NYSE,6.5,"Oil - Production & Pipeline","SIC-4922 Natural Gas Transmission","10:24 ET",+36.49%,+17.76%,+61.23%,+37.78%,+35.05%,+46.01
VET,"Vermilion Energy Inc",NYSE,19.26,"International E&P","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+42.27%,+91.20%,+43.49%,+52.97%,+138.64%,+149.37
VHI,"Valhi Inc",NYSE,32.35,"Chemical - Diversified","SIC-2810 Industrial Inorganic Chemicals","10:23 ET",+17.28%,+24.35%,+142.97%,+146.68%,+15.05%,+16.26
VIST,"Vista Energy S.A.B. DE C.V. ADR",NYSE,8.42,"Oil - International Integrated","SIC-1311 Crude Petroleum & Natural Gas","10:24 ET",+11.99%,+138.08%,+52.88%,+72.06%,+11.16%,+170.43
VNOM,"Viper Energy LP",NASDAQ,28.51,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:34 ET",+29.52%,+101.46%,+53.81%,+53.97%,+19.99%,+50.27
WLK,"Westlake Corp",NYSE,126.84,"Chemical - Plastics","SIC-2860 Industrial Organic Chemicals","10:35 ET",+14.80%,+56.96%,+46.24%,+85.60%,+29.64%,+34.73
ZETA,"Zeta Global Holdings Corp Cl A",NYSE,10.97,"Technology Services","SIC-7372 Services-Prepackaged Software","10:34 ET",+17.13%,+24.51%,+89.52%,+77.05%,+206.45%,+19.99
ZIM,"Zim Integrated Shipping Services Ltd",NYSE,56.5,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:35 ET",+39.91%,+168.78%,+50.54%,+102.57%,"+1,575.85%",+29.16
"Downloaded from Barchart.com as of 05-02-2022 09:35am CDT"
